,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
595,Fyrtøjet,1907,N/A,03 Oct 1907,N/A,Short,Viggo Larsen,N/A,"Oda Alstrup, Viggo Larsen, Gustav Lund, Robert Storm Petersen",N/A,None,Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,5,tt0000596,movie,N/A,N/A,N/A,N/A,True,
596,Les glaces merveilleuses,1907,N/A,28 Dec 1907,7 min,Short,"Segundo de Chomón, Ferdinand Zecca",N/A,Julienne Mathieu,"A talented youth has compounded a wonderful fluid, a little of which he applies to the mirror in his room, and when he looks into it his image comes to life and comes out of the frame and imitates his every action. As soon as he rubs","None, French",France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,67,tt0000597,movie,N/A,N/A,N/A,N/A,True,
597,Hamlet,1907,TV-14,01 Nov 1907,10 min,"Short, Drama",Georges Méliès,William Shakespeare,Georges Méliès,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTJkYzNmYWItZWM2ZS00MmU3LTgzZjctYWFmM2YwMDc1NTMwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,35,tt0000598,movie,N/A,N/A,N/A,N/A,True,
598,Isbjørnejagten,1907,N/A,15 Feb 1907,N/A,"Short, Drama",N/A,N/A,"Axel Graatkjær, Viggo Larsen, Ole Olsen",N/A,None,Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,13,tt0000599,movie,N/A,N/A,N/A,N/A,True,
599,#DUPE#,1907,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0000583,movie,N/A,N/A,N/A,N/A,True,
600,Lohengrin,1910,N/A,N/A,N/A,"Short, Drama",Franz Porten,Richard Wagner (opera),"Witold d'Antone, Franz Porten, Henny Porten",N/A,N/A,Germany,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,6,tt0000601,movie,N/A,N/A,N/A,N/A,True,
601,Løvejagten,1907,N/A,11 Nov 1908,10 min,"Drama, Short, Adventure",Viggo Larsen,Arnold Richard Nielsen,"Axel Graatkjær, Viggo Larsen, Knud Lumbye",Two white hunters accompanied by their african servant go hunting in the african jungle. They see various animals and shoot a lion. Very early silent movie.,None,Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,187,tt0000602,movie,N/A,N/A,N/A,N/A,True,
602,The Magic Fountain Pen,1909,N/A,17 Jul 1909,N/A,"Animation, Short",J. Stuart Blackton,N/A,J. Stuart Blackton,"The pen draws sketches which change themselves slowly. First, Napoleon is drawn, this evolves into Emperor William, who in turn changes to King Edward, wearing a silk hat and smoking a cigar. This turns into a fine likeness of the Fa",None,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,13,tt0000603,movie,N/A,N/A,N/A,N/A,True,
603,A Misalliance,1907,N/A,02 May 1908,N/A,"Short, Drama",Viggo Larsen,N/A,N/A,Kitty and Daisy are supporting themselves and their inebriated father by singing and dancing in a music-hall. The fact that they have been able to keep themselves innocent in spite of all ...,None,Denmark,N/A,N/A,[],N/A,N/A,N/A,tt0000604,movie,N/A,N/A,N/A,N/A,True,
604,Mordet paa Fyn,1907,N/A,18 Apr 1907,N/A,"Short, Crime, Drama",N/A,Alexander Christian,Robert Storm Petersen,N/A,None,Denmark,N/A,N/A,[],N/A,N/A,N/A,tt0000605,movie,N/A,N/A,N/A,N/A,True,
605,Mr. Gay and Mrs.,1907,N/A,21 Dec 1907,N/A,"Short, Comedy",N/A,N/A,"Linda Arvidson, Robert Harron, Anthony O'Sullivan","In the opening of the story we find Mr. Gay at breakfast, served with coffee and rolls from the fair hands of a pretty petite French maid, whose cherry lips like rose leaves seem tacitly ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,6,tt0000606,movie,N/A,N/A,N/A,N/A,True,
606,La muerte del tirano,1907,N/A,N/A,N/A,Short,Narciso Cuyàs,Narciso Cuyàs,"Enrique Jiménez, Margarita Xirgu",N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000607,movie,N/A,N/A,N/A,N/A,True,
607,En ny hat til Madammen,1906,N/A,14 Nov 1906,N/A,"Short, Comedy",Viggo Larsen,N/A,Jean Hersholt,N/A,None,Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,10,tt0000608,movie,N/A,N/A,N/A,N/A,True,
608,Othello,1906,N/A,29 Feb 1908,N/A,"Short, Drama, Music, Romance","Mario Caserini, Gaston Velle",William Shakespeare (play),"Ubaldo Maria Del Colle, Maria Caserini, Mario Caserini, Fernanda Negri Pouget",The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,"None, Italian",Italy,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,12,tt0000609,movie,N/A,N/A,N/A,N/A,True,
609,Othello,1907,N/A,N/A,N/A,"Short, Drama, Romance",Franz Porten,William Shakespeare,"Franz Porten, Henny Porten, Rosa Porten",The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,German,Germany,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,13,tt0000610,movie,N/A,N/A,N/A,N/A,True,
610,In the Sultan's Power,1909,N/A,17 Jun 1909,N/A,"Adventure, Short",Francis Boggs,N/A,"Hobart Bosworth, Betty Harte, Tom Santschi, Stella Adams","Jack Thornton, an American traveler, while touring Europe meets the daughter of an old French nobleman and falls in love with her. He is persistent in his suit for her hand, but outside of ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000611,movie,N/A,N/A,N/A,N/A,True,
611,Procesión marítima en Santa Cristina,1907,N/A,N/A,6 min,"Documentary, Short",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000612,movie,N/A,N/A,N/A,N/A,True,
612,O Rapto de Uma Actriz,1907,N/A,03 Sep 1907,N/A,"Short, Drama",Lino Ferreira,N/A,"Lucinda do Carmo, Carlos Leal, Nascimento Fernandes",N/A,None,Portugal,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,7,tt0000613,movie,N/A,N/A,N/A,N/A,True,
613,Le spectre rouge,1907,Not Rated,17 Aug 1907,9 min,"Short, Fantasy, Horror","Segundo de Chomón, Ferdinand Zecca",Segundo de Chomón,Julienne Mathieu,"A demonic magician attempts to perform his act in a strange grotto, but is confronted by a Good Spirit who opposes him.","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMTFkMjQ0YzctZDYyOS00NWMxLThlZWUtMTIwOGIwMTY4NGFjXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,989,tt0000614,movie,N/A,N/A,N/A,N/A,True,
614,Robbery Under Arms,1907,N/A,02 Nov 1907,N/A,Drama,Charles MacMahon,"Rolf Boldrewood, Charles MacMahon","Jim Gerald, George Merriman, Lance Vane",N/A,None,Australia,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,23,tt0000615,movie,N/A,N/A,N/A,N/A,True,
615,Romería a San Medín,1907,N/A,N/A,N/A,"Documentary, Short",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000616,movie,N/A,N/A,N/A,N/A,True,
616,Røverens brud,1907,N/A,04 Apr 1908,N/A,"Short, Drama",Viggo Larsen,Arnold Richard Nielsen,"Robert Storm Petersen, Clara Nebelong, Viggo Larsen","Tom, the young captain of robbers, and his sweetheart, Clara, are living in a small cottage in the wood. She is his good spirit. When his wild companions are coming for him, she always tries to dissuade him from joining them in their","None, Danish",Denmark,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,16,tt0000617,movie,N/A,N/A,N/A,N/A,True,
617,Salaviinanpolttajat,1907,N/A,29 May 1907,20 min,"Comedy, Short","Teuvo Puro, Louis Sparre","Louis Sparre, J. V-s","Eero Kilpi, Teuvo Puro, Teppo Raikas","Two local men who are making moonshine in the woods. A customer comes to them, and while sampling the product they start a game of cards, which eventually leads to a fight. While the fight is going on, the local police shows up and a",None,Finland,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,14,tt0000618,movie,N/A,N/A,N/A,N/A,True,
618,Stalking and Shooting Caribou in Newfoundland,1907,N/A,08 Jun 1907,N/A,"Documentary, Short",N/A,N/A,N/A,"Hunting scenes have ever been a leading feature in motion pictures since their inception, and the Biograph here presents a most thrilling series, a Caribou Hunt in the Barrens of ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000619,movie,N/A,N/A,N/A,N/A,True,
619,The Will,1908,N/A,30 May 1908,N/A,"Short, Drama",Viggo Larsen,N/A,Viggo Larsen,"A dramatic story showing how an unfaithful guardian steals the will and property of his dead friend and tries to marry his ward, but who is discovered and meets his just reward in a tragic manner.",None,Denmark,N/A,N/A,[],N/A,N/A,N/A,tt0000620,movie,N/A,N/A,N/A,N/A,True,
620,That Fatal Sneeze,1907,Not Rated,01 Jun 1907,6 min,"Short, Comedy, Fantasy",Lewin Fitzhamon,N/A,"Thurston Harris, Gertie Potter","As an older man and a youth are eating at the table, the older man decides to amuse himself by using pepper to make the boy sneeze. Later, the boy retaliates by sneaking into the older man's room and putting pepper in his handkerchie",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMDQxZGE0MDYtZjg5ZS00NWVmLWEzNDMtODA3ZjQ3NzhkZDI0L2ltYWdlXkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,536,tt0000621,movie,N/A,N/A,N/A,N/A,True,
621,Tierra baja,1907,N/A,N/A,20 min,Short,"Narciso Cuyàs, Fructuós Gelabert","Fructuós Gelabert, Àngel Guimerà","Emilia Baró, Enrique Guitart padre, Trini Guitart",N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000622,movie,N/A,N/A,N/A,N/A,True,
622,The Magic Bag,1907,N/A,01 Oct 1907,N/A,"Short, Comedy",Viggo Larsen,N/A,N/A,Showing two clowns in many amusing positions. One of them gets into a bag to hide and as the other endeavors to belabor the bag with a club he finds he is striking air and the bag and its ...,None,Denmark,N/A,N/A,[],N/A,N/A,N/A,tt0000623,movie,N/A,N/A,N/A,N/A,True,
623,The Ugly Duckling,1907,N/A,N/A,N/A,Short,N/A,N/A,Mary Fuller,N/A,N/A,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,7,tt0000624,movie,N/A,N/A,N/A,N/A,True,
624,Villafranca: Fiestas del Drac y bailes típicos,1907,N/A,N/A,6 min,"Documentary, Short",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000625,movie,N/A,N/A,N/A,N/A,True,
625,Yale Laundry,1907,N/A,28 Oct 1907,N/A,"Short, Comedy",N/A,N/A,Anthony O'Sullivan,"""When the cat's away the mice will play,"" may be aptly applied to the theme of this picture of Biograph. The Yale Laundry is owned and operated by a dashing widow with two vivacious ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,6,tt0000626,movie,N/A,N/A,N/A,N/A,True,
626,'Ostler Joe,1908,N/A,09 Jun 1908,N/A,"Short, Drama",Wallace McCutcheon,D.W. Griffith,"Edward Dillon, D.W. Griffith, Anthony O'Sullivan","A fine pictorial rendering of this well-known poem, which teaches a good lesson in its contrast between the simple life and the temptations of a great city.","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,62,tt0000627,movie,N/A,N/A,N/A,N/A,True,
627,The Adventures of Dollie,1908,Not Rated,14 Jul 1908,12 min,"Action, Short","D.W. Griffith, G.W. Bitzer",Stanner E.V. Taylor,"Arthur V. Johnson, Linda Arvidson, Gladys Egan","On a warm and sunny summer's day, a mother and father take their young daughter Dollie on a riverside outing. A gypsy basket peddler happens along, and is angered when the mother refuses to buy his wares. He attacks mother and daught","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMDlmYzgwZmItNzdlMS00ZmE5LThkYmUtYmNhNjAyY2FlMmFiXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,795,tt0000628,movie,N/A,N/A,N/A,N/A,True,
628,After Many Years,1908,N/A,03 Nov 1908,17 min,"Drama, Short",D.W. Griffith,"Alfred Lord Tennyson, Frank E. Woods","Charles Inslee, Florence Lawrence, Harry Solter","John Davis, first mate of the brig ""Gifford,"" is seen bidding his wife and infant child a tearful adieu on the eve of the sailing of his ship. Caught in a terrible storm in the Pacific Ocean, the vessel is wrecked and all on board ar","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,85,tt0000629,movie,N/A,N/A,N/A,N/A,True,
629,Amleto,1908,N/A,12 Sep 1908,N/A,Drama,Mario Caserini,William Shakespeare,Fernanda Negri Pouget,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.","None, Italian",Italy,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,23,tt0000630,movie,N/A,N/A,N/A,N/A,True,
630,Hamlet,1908,N/A,N/A,N/A,"Short, Drama",Luca Comerio,William Shakespeare (play),N/A,"Hamlet suspects his uncle has murdered his father to claim the throne of Denmark and the hand of Hamlet's mother, but the prince cannot decide whether or not he should take vengeance.","None, Italian",Italy,N/A,N/A,[],N/A,N/A,N/A,tt0000631,movie,N/A,N/A,N/A,N/A,True,
631,Amor que mata,1908,N/A,N/A,14 min,Short,Fructuós Gelabert,"Fructuós Gelabert, José Vives","L. As, Joaquín Carrasco, Señora Guerra",N/A,None,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,51,tt0000632,movie,N/A,N/A,N/A,N/A,True,
632,The Anarchist's Sweetheart,1908,N/A,01 Nov 1908,N/A,"Short, Drama",Theo Frenkel,N/A,N/A,A girl uses her arm to bar the door against soldiers seeking her lover.,N/A,UK,N/A,N/A,[],N/A,N/A,N/A,tt0000633,movie,N/A,N/A,N/A,N/A,True,
633,Antony and Cleopatra,1908,N/A,03 Nov 1908,N/A,"Short, Drama, History, Romance","J. Stuart Blackton, Charles Kent",William Shakespeare (play),"Maurice Costello, Florence Lawrence, William V. Ranous, Charles Chapman",The story of the ill-fated love affair between Marc Antony and Cleopatra.,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000634,movie,N/A,N/A,N/A,N/A,True,
634,#DUPE#,1908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0000634,movie,N/A,N/A,N/A,N/A,True,
635,As You Like It,1908,N/A,19 Sep 1908,N/A,Short,Kenean Buel,"Gene Gauntier, William Shakespeare (play)",Gene Gauntier,"After the overthrowing of Duke Senior by his tyrannical brother, Senior's daughter Rosalind disguises herself as a man and sets out to find her banished father while also counseling her clumsy suitor Orlando in the art of wooing.","None, English",USA,N/A,N/A,[],N/A,N/A,N/A,tt0000636,movie,N/A,N/A,N/A,N/A,True,
636,L'assassinat du duc de Guise,1908,N/A,17 Feb 1909,15 min,"Short, History, Drama","André Calmettes, Charles Le Bargy",Henri Lavedan,"Charles Le Bargy, Albert Lambert, Gabrielle Robinne","France, at the end of the sixteenth century. Henry III decided to eliminate his rival, the Duke of Guise, and, therefore, calls him in the castle of Blois. The mistress of the duke, warned of the King's intentions, informs him, but t","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BYmRhNmFlZTAtMDYwOS00NTNjLTlhNTYtMzgwM2RlZjRiZGIxXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,642,tt0000637,movie,N/A,N/A,N/A,N/A,True,
637,At the Crossroads of Life,1908,N/A,03 Jul 1908,N/A,"Short, Drama",Wallace McCutcheon Jr.,D.W. Griffith,"Linda Arvidson, Florence Auer, Edward Dillon","The daughter of a staid New England minister is brought up in absolute ignorance of the ways of the outside world, and, when she gets the slightest inkling of its glamour, it makes a decided impression. Into her hands have fallen sev","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNjA0MjY4NDk4Nl5BMl5BanBnXkFtZTcwNzg1MDA4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,35,tt0000638,movie,N/A,N/A,N/A,N/A,True,
638,At the French Ball,1908,N/A,30 Jun 1908,7 min,"Short, Comedy",Wallace McCutcheon,N/A,"D.W. Griffith, Linda Arvidson, Edward Dillon","A husband finishes packing a suitcase, and then says good-bye to his wife. As soon as he is gone, the wife has her maid help her to dress for a costume ball. Meanwhile, the husband meets a friend, and the two of them put on costumes ","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNjA0MjY4NDk4Nl5BMl5BanBnXkFtZTcwNzg1MDA4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,44,tt0000639,movie,N/A,N/A,N/A,N/A,True,
639,An Awful Moment,1908,N/A,18 Dec 1908,12 min,"Drama, Short",D.W. Griffith,D.W. Griffith,"George Gebhardt, Marion Leonard, Harry Solter","As a judge passes sentence on a man, a gypsy woman in the audience vehemently protests, and she has to be physically removed from the courtroom. Soon afterwards, the judge returns home, and enjoys some time with his wife and child. B","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BYjlkNDM3MTktNjk3Yi00ZTkxLTkzNTctYjgxZTBkYzkzNWZlXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,133,tt0000640,movie,N/A,N/A,N/A,N/A,True,
640,Balked at the Altar,1908,N/A,25 Aug 1908,12 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"Mabel Stoughton, Linda Arvidson, George Gebhardt","Artemisia Sophia Stebbins was a lovelorn maiden who had delved deep into the mysteries of ""Three Weeks,"" as well as being conversant with the teachings of Laura Jean Libby. Her one hobby was to possess a hubby. Many there were whom s","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BM2RiNjhiN2MtNDY0Ny00OTJhLWI4YTYtYmY5ZTRmNzBhYzllXkEyXkFqcGdeQXVyNzU3NjUzNTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,160,tt0000641,movie,N/A,N/A,N/A,N/A,True,
641,The Bandit's Waterloo,1908,N/A,04 Aug 1908,12 min,"Short, Action",D.W. Griffith,D.W. Griffith,"Charles Inslee, Linda Arvidson, Marion Leonard, Harry Solter",The Outwitting of an Andalusian Brigand by a Pretty Senora. The hills of Southern Spain were infested by a gang of lawless freebooters who terrorized the country and made travel in the ...,"None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,22,tt0000642,movie,N/A,N/A,N/A,N/A,True,
642,Barbara Fritchie: The Story of a Patriotic American Woman,1908,N/A,07 Nov 1908,N/A,"Short, Drama, History, War",J. Stuart Blackton,"John Greenleaf Whittier (poem), Theodore A. Liebler Jr.","Julia Arthur, Edith Storey, Earle Williams",Barbara Frietchie's defense of the American flag and the death of a Union soldier in battle bring a tribute from both sides.,None,USA,N/A,https://m.media-amazon.com/images/M/MV5BNGQyNDBiODItOTlkMi00ZGExLWI5MmEtZTRlOWFjM2JiNDAzXkEyXkFqcGdeQXVyMTI2OTg5ODQw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,5,tt0000643,movie,N/A,N/A,N/A,N/A,True,
643,Behind the Scenes,1908,N/A,11 Sep 1908,9 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Florence Lawrence, Gladys Egan, Kate Bruce, George Gebhardt","A mother works as a dancer to support her ill daughter. One night while performing, the mother has a vision of her child dying. She rushes home, but it is too late.","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,17,tt0000644,movie,N/A,N/A,N/A,N/A,True,
644,Betrayed by a Handprint,1908,N/A,01 Sep 1908,9 min,"Short, Crime",D.W. Griffith,D.W. Griffith,"Florence Lawrence, Harry Solter, Linda Arvidson","Mrs. Wharton, a dashing widow, gives a party at her beautiful villa in honor of the presentation to her of a handsome diamond necklace by her fiancé. During the evening bridge participated in by a number of the guests, among whom is ","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNjg3ZmZkMGYtOThlOC00ZDFhLWEyYWQtNWQ3OGE3NjQyYjk1XkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,160,tt0000645,movie,N/A,N/A,N/A,N/A,True,
645,Biblical Scenes,1908,N/A,N/A,N/A,Short,N/A,N/A,N/A,N/A,None,United Kingdom,N/A,N/A,[],N/A,N/A,N/A,tt0000646,movie,N/A,N/A,N/A,N/A,True,
646,Bjørnejagten,1910,N/A,N/A,N/A,"Short, Comedy",N/A,N/A,"Victor Fabian, Otto Lagoni",N/A,N/A,Denmark,N/A,N/A,[],N/A,N/A,N/A,tt0000647,movie,N/A,N/A,N/A,N/A,True,
647,The Black Viper,1908,N/A,21 Jul 1908,10 min,"Short, Drama","D.W. Griffith, Wallace McCutcheon Jr.",N/A,"Edward Dillon, George Gebhardt, D.W. Griffith, Anthony O'Sullivan","A thug accosts a girl as she leaves her workplace but a man rescues her. The thug vows revenge and, with the help of two friends, attacks the girl and her rescuer again as they're going for...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZDVjYTU4ZmYtN2JiZi00OGM3LWE2ZWMtNmYyNGViNmI4NDEzXkEyXkFqcGdeQXVyNzU3NjUzNTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,107,tt0000648,movie,N/A,N/A,N/A,N/A,True,
648,Bobby's Kodak,1908,N/A,10 Feb 1908,N/A,"Short, Comedy",Wallace McCutcheon,N/A,"Edward Dillon, Robert Harron","A boy takes pictures of everything, including some embarrassing situations. When he projects the pictures on a wall for everyone to see, his father spanks him and smashes the camera.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000649,movie,N/A,N/A,N/A,N/A,True,
649,The Boston Tea Party,1908,N/A,15 Jul 1908,N/A,"Short, Drama, History",Edwin S. Porter,James Cogan,"Charles Ogle, Herbert Prior","Great historic picture of The Tea Party in Boston Harbor, 1773.","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,6,tt0000650,movie,N/A,N/A,N/A,N/A,True,
650,"The Boy Detective, or The Abductors Foiled",1908,N/A,11 Mar 1908,5 min,"Short, Comedy, Drama",Wallace McCutcheon,N/A,"Robert Harron, Edward Dillon","As a newsboy is playing a game on the sidewalk with a friend, two men come near to them, and then stand in a position where they cannot be seen from the sidewalk. When an attractive woman ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNmNlMGZhNWMtZGM3OC00OTAxLWFkNGQtZDhiZjIyNjI5MzgzXkEyXkFqcGdeQXVyNjQwMjYzNjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,37,tt0000651,movie,N/A,N/A,N/A,N/A,True,
651,,,,,,,,,,,,,,,,,,,,,,,,,False,Error getting data.
652,A Calamitous Elopement,1908,N/A,07 Aug 1908,12 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"Harry Solter, Linda Arvidson, Charles Inslee","A young couple are enjoying a romantic interlude in the young woman's home, when her father discovers them and angrily chases the young man out of the house. They thus decide to elope, and they make plans accordingly. But as they are","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BY2Y3YWI2ZTAtNDk1NS00ZjIxLWI2NzAtNzM4ZjgxNTI0MGY1XkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,202,tt0000653,movie,N/A,N/A,N/A,N/A,True,
653,The Call of the Wild,1908,N/A,27 Oct 1908,16 min,"Short, Action",D.W. Griffith,D.W. Griffith,"Charles Inslee, Harry Solter, Florence Lawrence, George Gebhardt","George Redfeather, the hero of this subject, returns from Carlisle, where he not only graduated with high honors, but was also the star of the college football team. At a reception given in...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNzkzYWE2YTQtMWFlZS00YjdkLWE0NDEtOGI2ZTczNDI4YjU4XkEyXkFqcGdeQXVyMzc1NTUwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,51,tt0000654,movie,N/A,N/A,N/A,N/A,True,
654,Los calzoncillos de Tony,1908,N/A,N/A,12 min,Short,Fructuós Gelabert,Fructuós Gelabert,"Alberto Bosch, María Clemente, Daroqui, Luis Guilemany",N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000655,movie,N/A,N/A,N/A,N/A,True,
655,Il cane riconoscente,1907,N/A,01 Apr 1907,N/A,Short,Carlo Montuori,N/A,N/A,N/A,"None, Italian",Italy,N/A,N/A,[],N/A,N/A,N/A,tt0000656,movie,N/A,N/A,N/A,N/A,True,
656,Carreras de caballos de 1908,1908,N/A,N/A,10 min,"Short, Documentary",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000657,movie,N/A,N/A,N/A,N/A,True,
657,The Puppet's Nightmare,1908,Not Rated,16 Oct 1908,2 min,"Animation, Short",Émile Cohl,N/A,N/A,The nightmare of Émile Cohl's chalk animation is one of unreliable appearances. Fishermen catch fish which eat them whole. Ladders transform into coils which just as suddenly take the form ...,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMjNlZWJmYjctNzQyNi00YjA1LWFkZTctNTljYzFlOWM1ZjYzXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,180,tt0000658,movie,N/A,N/A,N/A,N/A,True,
